;Tweets;Weekday;Month;DayOfMonth;Hour;Min;Sec;Year;sentiment
3859;RT @RickieFowlerPGA: So pumped!! 1st win on the @PGATOUR &amp; a great place to do it @WellsFargoGolf!! Won't sink n for a while but rig ...;Mon;May;7;1;1;29;2012;0.6705
3860;Msi bnyak nih kata2 mutiaraku hahaha RT @amyQuyus: Akh kw iny t ada matix lang (-.-")&gt; RT @GalangLborahima Mau baku gara ini? RT @amyQuyus:;Mon;May;7;1;3;51;2012;0.5574
3861;IBM - IBM Intergraph MSMT495 Video 01K4336 Intense 3D 3400 PCI Video: IBM Intergraph MSMT495 Video 01K4336 Inten... http://t.co/grB64bny;Mon;May;7;1;5;49;2012;0.0772
3862;aku sama cece mau merintis karir dulu . udah ada duit bnyak baru nikah haha doain aja yaaRT @atikaauliap: (cont) http://t.co/Kbc2z0u3;Mon;May;7;1;7;14;2012;0.4588
3863;ka @tantrikotak ,#FestivalKKI ini ada webnya g? daftarnya gmn?di kota apaaja?makasi...\m/;Mon;May;7;1;7;59;2012;0.0
3864;Mw mati rasa bnyaa (<U+FE36><U+FE39><U+FE3A>);Mon;May;7;1;8;44;2012;0.0
3865;Jadilah wanita penuh ispirasi seperti @FiraBasuki dlm kedukaan masih bisa memberikan bnyk pelajaran buat yg lain;Mon;May;7;1;14;50;2012;0.0
3866;RT @FURIOUSbali: Selamat pagi... Yg nanti gak ada acara, bs berkunjung ke toko kita... Ada SCHOOL PACK, ada KRIPIK GEMBEL dan bny lg... :);Mon;May;7;1;15;22;2012;0.4588
3867;5 studio?bnyk bgt!RT"@diniyunita: The Avengers main 5 studio. Pengen banget nonton yuk..";Mon;May;7;1;17;51;2012;0.0
3868;RT @RickieFowlerPGA: So pumped!! 1st win on the @PGATOUR &amp; a great place to do it @WellsFargoGolf!! Won't sink n for a while but rig ...;Mon;May;7;1;17;52;2012;0.6705
3869;RT @RickieFowlerPGA: So pumped!! 1st win on the @PGATOUR &amp; a great place to do it @WellsFargoGolf!! Won't sink n for a while but rig ...;Mon;May;7;1;19;16;2012;0.6705
3870;Hujan gini ,persiapan minyak kayu putih yg bnyak .;Mon;May;7;1;19;25;2012;0.0
3871;RT @RickieFowlerPGA: So pumped!! 1st win on the @PGATOUR &amp; a great place to do it @WellsFargoGolf!! Won't sink n for a while but rig ...;Mon;May;7;1;21;37;2012;0.6705
3872;Heey! @ragamkabar Yuuk Follow ~&gt; @Citizenesia Untuk Dapet Informasi Ter Update Tentang Man. City! Buruan ~ :);Mon;May;7;1;22;19;2012;0.555
3873;@mionesaroh dustira ya teh :) asiikk makin bnyk dr D :);Mon;May;7;1;24;6;2012;0.7184
3874;RT @GolfweekSMartin: Wells Fargo playoff participants in Twitter terms. @McIlroyRory: 1,052,383 followers. @RickieFowlerPGA: 304,993. @D ...;Mon;May;7;1;25;17;2012;0.25
3875;@Tanty_Lintang ciye bbnya aktip;Mon;May;7;9;46;18;2012;0.0
3876;Bnr2 tmbh ga mw berharap bnyk stlh ngliat tweet nya....maybe she has feeling for someone else..... ;'(;Mon;May;7;9;46;39;2012;0.128
3877;Tapi bagi aku, kamu yang paling cantik #eeaaa RT @BEXXA_N: Aiinugraha hahaha bs aja,mah bnyk yg lbh cantik;Mon;May;7;9;49;4;2012;0.5574
3878;RT @CitizenBahraini: <U+062C><U+062F><U+0648><U+0644> <U+0634><U+0631><U+0627><U+0634><U+0646><U+0629> <U+0627><U+0644><U+0628><U+062D><U+0631><U+064A><U+0646> <U+0644><U+0647><U+0630><U+0627> <U+0627><U+0644><U+0627><U+0633><U+0628><U+0648><U+0639> http://t.co/WWL3A2ML <U+0644><U+0644><U+0627><U+0637><U+0644><U+0627><U+0639> <U+0641><U+0642><U+0637> <U+0637><U+0628><U+0639><U+0627><U+062D><U+0642><U+0631><U+0648><U+0647><U+0645> <U+0648><U+0645><U+0627><U+0631><U+0633><U+0648> <U+062D><U+064A><U+0627><U+062A><U+0643><U+0645> <U+0628><U+0643><U+0644> <U+0648><U+0646><U+0627><U+0633><U+0629> <U+0648><U+0627><U+0631><U+064A><U+062D><U+064A><U+0629> #bahra ...;Mon;May;7;9;50;6;2012;0.0
3879;cucian bnyak tp mlah maen2. kocak dah gw. hehehe;Mon;May;7;9;50;29;2012;0.0
3880;Ditanya"bisa ga de" eh jawabnya "gatau ey tehh" -_-;Mon;May;7;9;51;9;2012;0.0
3881;@ivanahyun bnyk virus;Mon;May;7;9;51;13;2012;0.0
3882;emang iya? RT @alvinaditaditya: hahah msh bnyk sih :p RT @fryscaekaputri ah masaa? :p RT @alvinaditaditya: suasana yg wajib diinget gua sama;Mon;May;7;9;51;26;2012;0.5204
3883;kamu duluan dongs' mau bnykin FS' please RT@tinnanurazizah Kamu dulu yang follow, baru ntar aku follback;Mon;May;7;9;52;43;2012;0.3182
3884;@adellafebriana yg msuk situ kbnyakan dri anak ipa dek hhee;Mon;May;7;9;52;59;2012;0.0
3885;dapet tamu dr pemalang 4 orang RT@rizkysyahrul yaahh gue gak kebagian kang , haha RT @adityaaFN bnyk banget , tanya aja anak saung RTsangkur;Mon;May;7;9;56;53;2012;0.4588
3886;RT @WOWKonyol: *ujian* Udin! Kok diem aja? Dijawab dong soal2nya!| Susah2, bu.. Biar waktu yg menjawabnya..| *ngenyot tipe-x*;Mon;May;7;9;58;33;2012;0.0
3887;@wiatsmara yakan widya bnyak tuh udh hampir sama kaya baju dah;Mon;May;7;9;59;30;2012;0.0
3888;"@CarmelitaShanty: Knpa bnyak yg di unfoll ama ka gaga ya ? Padahal pada ikutan yg pasang RBT itu , ckck";Mon;May;7;9;59;35;2012;0.0
3889;RT @kata2bijak: Jiwa kita seperti ruangan, itulah sebabnya Tuhan selalu mengisi hidup ini dengan Masalah, untuk menguji siapa yang Jiwan ...;Mon;May;7;9;59;35;2012;0.0
3890;RT @kata2bijak: Jiwa kita seperti ruangan, itulah sebabnya Tuhan selalu mengisi hidup ini dengan Masalah, untuk menguji siapa yang Jiwan ...;Mon;May;7;10;0;24;2012;0.0
3891;@AgaTrevor bnyk amat ampe game ke 5;Mon;May;7;10;5;22;2012;0.0
3892;harusnya jawabnya fariiin -_- ah lolaa "@BenRiandy08: Tra tw e. Sa sja tra menguasai mkssr bgni moh.haha;Mon;May;7;10;5;39;2012;0.0
3893;--_______-- grrr RT @taafeeb: Nda sya tau juga:-P RT @BilahBilah: Yah mana sy tau -____- RT @taafeeb: Bbnya siapa ayo RT @BilahBilah: Bb nya;Mon;May;7;10;5;52;2012;-0.1027
3894;RT @kata2bijak: Jiwa kita seperti ruangan, itulah sebabnya Tuhan selalu mengisi hidup ini dengan Masalah, untuk menguji siapa yang Jiwan ...;Mon;May;7;10;6;33;2012;0.0
3895;@Shaziera act rasa de skit je lg.tp lupa da ganti brp ari. so my sis ckp start je la dr mula. tu yg bnyk lg tuh.haha.awk potong rmbut katne?;Mon;May;7;10;7;54;2012;0.0
3896;RT @KhorqoA: #NYESEK itu wktu sms puanjaaaang jwbnya hnya 3 huruf doang <U+0429>(´<U+0329><U+0414>`<U+0329><U+0449>);Mon;May;7;10;8;22;2012;0.0
3897;RT @kata2bijak: Jiwa kita seperti ruangan, itulah sebabnya Tuhan selalu mengisi hidup ini dengan Masalah, untuk menguji siapa yang Jiwan ...;Mon;May;7;10;10;7;2012;0.0
3898;@suadah_sue dsh aku x tulis bnyk2 cmni..;Mon;May;7;18;12;22;2012;0.0
3899;skrng curhat, status, d twitt bisane, coz BBm ma facebook bnyak wanted nya, hiiiii;Mon;May;7;18;16;22;2012;0.0
3900;Bangga pny kk 2 yg ganteng2, yg overprotektif, yg syg ny itu, yg duitny bnyak jg<U+2665>;Mon;May;7;18;19;34;2012;0.3612
3901;RT @citizen_corps: Give Mom the gift of preparedness this Mothers' Day! Kit items make great little presents: http://t.co/Yp910Iff;Mon;May;7;18;25;14;2012;0.807
3902;@AriffinMohdZaid mcm sedap je.. haha.. kau mkn bbnyk.. jgn kurus2 sngt nnti xkacak doe.. haha;Mon;May;7;18;27;31;2012;0.4588
3903;RT @PeterNduati: Nyongo just lied. We did not turn down the scheme, it was awarded to #NHIF who were not in the consortium  @citizentvkenya;Mon;May;7;18;29;51;2012;0.0258
3904;Which Firms Have The Most Twitter Followers? http://t.co/2dm7872o Kudos to @Citi!;Mon;May;7;18;30;32;2012;0.5562
3905;@CitizenScreen It's such a touching post! :);Tue;May;8;2;29;2;2012;0.5093
3906;Emang'nya adegan apa tuh ndah ??? @IndahpermataS_: Pagi ini, bnyak ketemu adegan2 yg....astagfirullahhh;Tue;May;8;2;30;22;2012;0.0
3907;hari hari bangun lewat mcm nieh, tambah gemokk lah jawabnyaa. ==';Tue;May;8;2;32;38;2012;0.0
3908;@mpuz bca..cmburuki mntan pcrx tmnq,<U+2639> "@BuatSeseorang: Semoga kamu mengerti apa yg aku rasakan saat ini dan biarlah waktu yg menjawabnya..;Tue;May;8;2;32;52;2012;0.0
3909;RT @SweetNdSourJazz: @citiboi100 @xAdorableD0lL_ hell yea lol she sure is;Tue;May;8;2;33;27;2012;-0.128
3910;@fatbny bebeeeeen :3;Tue;May;8;2;33;47;2012;0.5106
3911;@gnendra ahh lo geje, gw tanya ape jwbnya apee~;Tue;May;8;2;37;28;2012;0.0
3912;Di bb teng,kalo di laptop mau dia aneh lok RT @bantenktop: @anisaendi gak mau kebaca di laptop? Atau gak mau kebaca di bbnya?;Tue;May;8;2;38;55;2012;0.0
3913;bnyk bgt tugas. Puyeng;Tue;May;8;2;39;53;2012;0.0
3914;@hameed_farouq kewis enak 3aref *.* ahahahaha :D yaala ya ebny khosh nam abl mamot menak me2rfsa ':/;Tue;May;8;2;40;25;2012;0.6166
3915;@erzana23 haha. besa siket eh. bnyk kje?;Tue;May;8;2;49;49;2012;0.4588
3916;@AlisaSpencer tp kmk sure bnyk org x polah :3;Tue;May;8;14;10;26;2012;0.6808
3917;Oh iya teh maaf, jgn d wastukai ibejani :( RT @siskaasetyawati: Lagi sakit jgn bnyk protes bisi jd Rumor-Butiran debu~ RT @tikagainstworld:;Tue;May;8;14;10;29;2012;-0.4404
3918;Td soalnya anak cwe sereem udah pada adu bacot ama cwe254 kan jd bnyk dosa tuh "@Irfanfjrrr: maksudnya nambah dosa apaa?;Tue;May;8;14;10;55;2012;0.0
3919;msak yg bnyak dih, hhe.. blum tau lai flor RT: @flora_grecy: @alvisyukri_ hhaha.. Datanglah pas rayo lai.. Bilo alvi pulang ko?;Tue;May;8;14;11;14;2012;0.0
3920;@reveramessrp tp gua liat pulsa masih bnyak --";Tue;May;8;14;11;18;2012;0.0
3921;Okeh! Aku merestui kalian (<U+02D8><U+2323><U+02D8>)e<U+02D8>`) RT @winniandria kalo gt mari berahasia. di twitter bnyk mata2 wi X_X RT @DewiTambunan: Aku udah tau semu;Tue;May;8;14;14;11;2012;0.3382
3922;Wells Fargo says it may face fair lending claims: (Reuters) - The Department of Justice believes it has grounds ... http://t.co/a8VumaMq;Tue;May;8;14;14;56;2012;0.7717
3923;@indahNarorie jng lupa amit"ndah,kshan si baby nnt,<U+200B><U+200E><U+200B>"<U+032E>h<U+03F1><U+03F1>.h<U+03F1>"<U+032E> ..bnyk"sabr bu,ujian bumil mang bgtu;Tue;May;8;14;17;29;2012;0.0
3924;Bank of America Revs Up for Settlement Agreement Modifications-Bank of America is taking the first steps toward f.. http://t.co/26h1C5Qz;Tue;May;8;14;18;16;2012;0.4939
3925;Komnasham ---&amp;gt; RT @henri_morati: Makanya hrs bersykur km bnyk anak2 kurang mampu g pny (cont) http://t.co/gMzUrcB8;Tue;May;8;14;21;56;2012;0.0
3926;Wells Fargo says it may face fair lending claims: (Reuters) - The Department of Justice believes it has grounds ... http://t.co/moMo8ZfX;Tue;May;8;14;22;21;2012;0.7717
3927;Bank of America to begin offering principal reduction packages. Make sure you dont throw yours away! http://t.co/EQc546gC;Tue;May;8;14;22;38;2012;0.3802
3928;Hello jga syank :* amin2,mksh bnyk tri,doa trakhr plg diaminkan :p :* RT @trimar_: Holla bunda @yessy_morgan ... http://t.co/wKRosWcc;Tue;May;8;14;24;46;2012;0.8402
3929;Wells Fargo says it may face fair lending claims: (Reuters) - The Department of Justice believes it has grounds ... http://t.co/YpjwND6r;Tue;May;8;14;25;34;2012;0.7717
3930;@pravianti gimana udh ketemu bnyk kan;Tue;May;8;14;27;3;2012;0.0
3931;jas terase bout my tweet yg pasal contact bnyk laki. hahaha babe i really wasnt refering to u.;Tue;May;8;14;31;49;2012;0.5574
3932;Yang ulang tahun hari ini bnyak banget yagh ^^;Tue;May;8;14;32;6;2012;0.0
3933;@fadzrinanuar mntak maaf, org bnyk sgt bhasa2 pelik nih..sila brsabar ye ;);Tue;May;8;14;32;35;2012;0.2263
3934;iy hahaha, mnding d ragunan jg ko, bnyk bwat hunting. hahaha RT @eckhoprasetiyo1 : @maulanaciel awkawk payah dah ah nomer telp cpt x ul..;Tue;May;8;14;32;49;2012;0.802
3935;Ga usah memaksakan m'jd lampu stadion yg menyinari bnyk org.. Tp berusahalah lbh dl m'jd lampu petromax dikala gelap tiba.. Just be urself <U+263A>;Tue;May;8;22;57;51;2012;0.0
3936;pagi sayangRT @_kdxkojiro: Uyut cie selem RT @ajibnyadunia: ga mauRT @raika_caem: @prayogi_69 @JroJepunJepang @ajibnyadunia @_kdxkojiro ...;Tue;May;8;22;59;2;2012;0.0
3937;Mksh bnyk yaaa disaaa :) RT @disakhasbiya: Happy Birthday @kekeminthul keeeee x) sukses terus pantang gagal yoo~;Tue;May;8;23;0;42;2012;0.7717
3938;lha ancen itu kwajiban.r eg mb.. :p RT @sasvirra biasa sibuk kuliah , lg bnyk menyita wkt RT @gembulsyalala: ngga sibuk apa.apa mb.. kmu gmn;Tue;May;8;23;2;53;2012;0.25
3939;Stupid Wells Fargo's lines are so dam big !!;Tue;May;8;23;4;9;2012;-0.4559
3940;@_omarelsherbiny yabny hwa lma el w7ed ye2ol en galya mo3yna mn el nas hatnt5eb 7ad ma3naha kol fard menhom hayente5eb el 7ad da ?;Tue;May;8;23;17;24;2012;0.0
3941;Kle bsa ya jtuh dpn bnyk org gni (<U+033E><U+02D8><U+0336>`<U+033E><U+033E> <U+032F><U+02D8><U+0336>´<U+033E> <U+033E><U+033E><U+033E>'<U+033E><U+033E>)<U+033E>;Tue;May;8;23;18;51;2012;0.0
3942;Kenapa tdk memiLiki.. RT @Citilink: @Chandraevans kami tidak memiliki rute tersebut.;Wed;May;9;7;15;3;2012;0.0
3943;he'emnsha,,,td aja q baRT @NezaShizuka Minggu ini sepertinya dosen nya bnyk yg tdk ngajar.. #semoga :D;Wed;May;9;7;16;51;2012;0.6166
3944;Alasan gamau punya poni --&gt; RT @infojakarta: Ternyata Si - Poni Penyebabnya Jerawat di Dahi http://t.co/AI9iDdit;Wed;May;9;7;20;11;2012;0.0
3945;Laaahhh -..- RT"@shitashit: @gamiiyelaa fbnya eror mungkin :)";Wed;May;9;7;20;45;2012;0.0
3946;Sik ....... RT @PutriAninditaaa: Pesta nih hihi RT @irmanPohe: @PutriAninditaaa mamah ultah? Sik bnyak mkanan dong? http://t.co/U9uhKEcw;Wed;May;9;7;23;44;2012;0.0
3947;Aseeeeek RT @atika_nara74: Iyo wes iyo ben seneng (<U+02D8><U+0336>`• <U+032F>•<U+02D8><U+0336>´) "@audiandini: Aku cantik bngt ya :$ duh mangkanya bnyak yg suka :3";Wed;May;9;7;26;3;2012;-0.0516
3948;@AfrizaaalRzk eeeeh jgn amin dulu! pinter itu kan bnyk macemnya wkwk;Wed;May;9;7;26;48;2012;0.0
3949;Arsenal n juventus,maenya sangat menghibur.Arsenal dngn bnyk gol, juve dngn prthanan yg kokoh@bola_radio: Apa sih klub kesayangan ? Kenapa?;Wed;May;9;7;28;5;2012;0.0
3950;Tickets for the KPL match btn current leaders AFC n Sony Sugar will go on sale on Fri. 11 May to Sat at Wells Fargo outlets in Nairobi.;Wed;May;9;7;31;55;2012;0.25
3951;Pantesan.RT @infojakarta: Ternyata Si - Poni Penyebabnya Jerawat di Dahi http://t.co/XQY5bbIe;Wed;May;9;7;33;12;2012;0.0
3952;Telfon bnyi pas gw prgi les -____-";Wed;May;9;7;35;48;2012;0.0
3953;Ih sama RT @DzulArifin bnyk org di rumah;Wed;May;9;7;36;51;2012;0.0
3954;Dekat facebook bnyk cikgu BM la , sbb kalau ayat kita typo or tk kena skit sure ada org tlg tulis ayat yg btul ,... Kannnnn ?;Wed;May;9;7;36;59;2012;0.3182
3955;@Luthfiafia : sini. sini. ngungsi sinih. bnyak makanan.. :));Wed;May;9;15;34;5;2012;0.0
3956;Mkan bnyokkk...blajar x...thats me...hahaha;Wed;May;9;15;34;49;2012;0.0
3957;Iya,makannya skolah pi,kasian bnyok udh bayar,ngebolos RT @frogi_devi: Gatau gasekolah gatau hari wakakak RT @ayoesan: Gatau,emng malem;Wed;May;9;15;36;14;2012;0.0
3958;SipRT @hannarayaa: (•<U+0361><U+032F>.•<U+0361><U+032F>)e<U+02D8>`) (<U+F8E7> <U+02D8>)<U+0437>+<U+25E6><U+25E6><U+25E6><U+2665>  makasih bnyak sygku RT @kvnrnsyh: Sukses yaa sayang nanti utsnya, loveyousyong<U+2661><U+2665> (<U+F8E7> <U+02D8>)<U+0437>+<U+25E6><U+25E6><U+25E6><U+2665>;Wed;May;9;15;42;50;2012;0.0
3959;@Erick_Dwi_A ahahaa lg bnyak yg hrs d kerjain eik.. Hayang balik urg ge;Wed;May;9;15;43;44;2012;0.0
3960;@irene_audrey @fiet lahh kok aku *katanya ke kantor alasannya lembur tp kau hapyy bicaramu bnyk suka pura2 aku tertipu;Wed;May;9;15;43;55;2012;0.0
3961;@RasmusFaber1 Someday people will hear our ancient legends of JP Morgan and Goldman Sachs and will think they were polytheistic gods.;Wed;May;9;15;45;18;2012;0.368
3962;Jangan-_- "@chiika_putri: Dikit aja :) RT @aelSyalala: Jngan berbahaya-_- "@chiika_putri: Boleh lakh :) RT @aelSyalala: Jgan asli udah bnyak;Wed;May;9;15;46;55;2012;0.7184
3963;Gausah difollow kalo akhirnya di unfoll haha terkesan kampungan mau bnyain flowers gak gt jga kalee;Wed;May;9;15;47;36;2012;0.6249
3964;Opsss, sorry.. Hahhaha RT @Putry_Mandar: bnyk ap?kere aaa RT @qton_12: Waaahh, kayaknya lu pu uang trlalu banyak tu, bagi2 dolooo, hahha;Wed;May;9;15;48;15;2012;-0.2732
3965;<U+1000><U+103A><U+1014><U+1039><U+1038><U+1019><U+102C><U+1031><U+101B><U+1038><U+1021><U+1010><U+103C><U+1000><U+1039> <U+1021><U+101E><U+1004><U+1039><U+1037><U+1031><U+1010><U+102C><U+1039><U+1006><U+1036><U+102F><U+1038> <U+1021><U+102D><U+1015><U+1039><U+101B><U+102C><U+101D><U+1004><U+1039><U+1001><U+103A><U+102D><U+1014><U+1039><U+1014><U+1032><U+1094> <U+1021><U+102D><U+1015><U+1039><U+101B><U+102C><U+1011><U+1001><U+103A><U+102D><U+1014><U+1039> http://t.co/Pz9QWbny;Wed;May;9;15;48;36;2012;0.0
3966;surik...oo surik... mana ak mo crik urg mcm kau ne...hahaha.. cnela meluah...nda bnyk urg baca.. haha;Wed;May;9;15;49;29;2012;0.4588
3967;kumbang bukan seekor.bnyak je terbang2;Wed;May;9;15;51;53;2012;0.0
3968;Tioooom RT @citiwillyun: Huhuuu~ RT @tikimarsya: Rinduuuu suasana 5 taun yg lalu (<U+02D8><U+0329><U+0329><U+0329>.<U+02D8><U+0329><U+01AA>);Wed;May;9;15;51;57;2012;0.0
3969;hehe followers nya uda bnyk gtu mbe nen :D RT @NennysiApin: lohh gag tau yaa.. :p lupa. .ahihihi.. :p  RT ... (more) http://t.co/DXTBWNfY;Wed;May;9;15;52;26;2012;0.6841
3970;Emang kapan sih rajinnya? RT @kakarickaa kenapa sertifikat wajibnya harus ikut kepuncak ? Aseli maleeees!!!;Wed;May;9;15;52;37;2012;0.0
3971;Sipitan yosi ._. RT @sonia_tbs7: devil cipit wkwk “@fanny9727: Itu sebabnya aku punya gelar devil ._. RT @sonia_tbs7: Fanny emg jahat;Wed;May;9;15;53;50;2012;-0.8689
3972;@SyIzlan hahahaha xD tweet la apa yg dia ckp bnyk bnyk xD;Wed;May;9;15;54;28;2012;0.8225
3973;RT @citizenPRC: <U+9648><U+5149><U+8BDA><U+533B><U+9662>“<U+5750><U+7262>”,<U+4F17><U+8BBF><U+6C11><U+7A97><U+5916><U+547C><U+53F7>: <U+76F2><U+4EBA><U+6CD5><U+5F8B><U+7EF4><U+6743><U+4EBA><U+58EB><U+9648><U+5149><U+8BDA><U+4ECE><U+7F8E><U+56FD><U+9A7B><U+534E><U+4F7F><U+9986><U+4F4F><U+8FDB><U+533B><U+9662><U+4EE5><U+6765>,<U+5728><U+5317><U+4EAC><U+4E0A><U+8BBF><U+7684><U+4E2D><U+56FD><U+5404><U+5730><U+4E0D><U+5C11><U+8BBF><U+6C11><U+6301><U+7EED><U+5230><U+533B><U+9662><U+95E8><U+53E3><U+56F4><U+89C2><U+3001><U+58F0><U+63F4><U+3002><U+6709><U+8BBF><U+6C11><U+8BF4>,<U+4ED6><U+4EEC><U+4ECE><U+9648><U+5149><U+8BDA><U+4E8B><U+4EF6><U+4E2D><U+770B><U+5230><U+4E86><U+81EA><U+5DF1><U+7684><U+95EE><U+9898><U+80FD><U+5F97><U+5230><U+516C><U+6B63><U+89E3><U+51B3><U+7684><U+5E0C><U+671B><U+3002><U+9648><U+5149><U+8BDA><U+5947><U+8FF9><U+822C><U+9003><U+8131>... http ...;Wed;May;9;15;55;21;2012;0.0
3974;RT @democracynow: From Coal to Foreclosures, Bank of America Faces Protest at Shareholders Meeting in Charlotte http://t.co/yoDOxPPE #Bo ...;Wed;May;9;15;55;54;2012;-0.6597
3975;5.Diantara member 2PM, OkCat itu salah satu member yg paling bnyk skandal ama artis cewe dan itu buat Junho kesel bgt ama OkCat. #okcatfacts;Wed;May;9;15;56;45;2012;0.0
3976;@dausfauzi13 kah kah, esok keluar jogging makan2. jgn lupa dekat aku. bwk balik satu bungkus pun jadi lah. aku mkn tak bnyk.;Wed;May;9;15;58;14;2012;0.0
3977;Itu budak di diemin malah terus2an maen game, ga ada cape2nya -___- abong udh lbh bnyak tanamannya. zzz;Thu;May;10;0;24;59;2012;-0.296
3978;Pagi2 online mcm ni mesti ramai akan tanya,"tak pegi sekolah ke ?" jawabnya, "kalau aku pegi sekolah mcm mana aku boleh on9?" Soalan pffttt~;Thu;May;10;0;26;27;2012;0.0
3979;RT @WellsFargoCtr: RT for a chance to win these 2 CB tix to tomorrow's @Sixers vs. Bulls Game 6! Great tix just rele... http://t.co/0toAKnnB;Thu;May;10;0;31;56;2012;0.8805
3980;"<U+032E> IIaIIa "<U+032E> IIaIIa "<U+032E> di gramedia bnyak... RT @nataka85: kamus mana kamusRT @BudiSatriaOne: *Ghamsahamnida* <U+263A> RT @nataka85: silahkan;Thu;May;10;0;34;27;2012;0.0
3981;Sbnr'y ga <U+264F>ªu  krj..! Kepala puyeng..! Tp tanggung jawab gu msh bnyak...! *ya  <U+200E><U+200B><U+0627><U+064E><U+0644><U+0644><U+0651><U+0647><U+064F> bila ªk<U+03B0> hrs istrht , ªk<U+03B0> akn istrht tp shri z ya;Thu;May;10;0;43;1;2012;0.0
3982;@PardedeBrandon bbm w msih off.. Gara" mo dilangganin paket bbnya ga bisa;Thu;May;10;0;43;28;2012;0.0
3983;@barabstrak TROLOLOLOL! Ohiya hp lo yg ada kitabnya itu rusak ya -__-" udah nemu ayatnya?;Thu;May;10;0;43;36;2012;0.0
3984;Plis jgn blg maw kata2in agnes??"@AgnesMonicaFCL: Maksudnya apa yaa ini ?RT @asfarrrr: @AgnesMonicaFCL masih bnyak penyanyi lain. Sherina,;Thu;May;10;8;43;4;2012;0.0
3985;@hunybunyshaa mcm i ckp td la,i kan krja so xleh nak shhot sgt...i pn bnyak kerja luar;Thu;May;10;8;43;9;2012;0.0
3986;@HZRHishr best best . tapi kalau panas , panas gila . hidung aku berdarah bnyk kali &gt;&lt;;Thu;May;10;8;44;34;2012;0.8555
3987;@farapolka best la jgak..tp dia nak bnyak,,xbley skit2..hehhe;Thu;May;10;8;45;33;2012;0.6369
3988;" Hrus bnyk yg d edit len RT@el_Ica: Knpa tuh?RT @suma_wardani masalah ne namany klo dh kyk gini..";Thu;May;10;8;45;36;2012;0.0
3989;promote aku dong kaka cantik ..RT @ikaaalestari: MueehehehehhRT antika_tika: di TL bnyak yg ngomongin ka (cont) http://t.co/yirOWr3j;Thu;May;10;8;46;40;2012;0.3818
3990;Termasuk elu ya daf?kwk canda ya-_-RT @daffa_iceman: Ga disangka di twitter bnyk anak alay =));Thu;May;10;8;47;10;2012;0.0
3991;@niigataayumu aha la awak..sebabnyer internet explorer jadi x nampak semua button2 tu..;Thu;May;10;8;50;37;2012;0.0
3992;@yhezkiyel hahaha.. Whatsappnya ga? Hahahahha... Si ardel emang kemana bbnya?;Thu;May;10;8;52;50;2012;0.0
3993;@syzwnsulaiman ye da ada bnyk masa jugak keluar dgn gegurl. Kahkah!;Thu;May;10;8;55;37;2012;0.0
3994;Minta klarifikasi itu tante.. G ada jumpa pers sih :p RT @rizkianamaria: Eh eh bumiil,, gag usah nambah² deh, akhir ² nie udh bnyaakk bgt;Thu;May;10;8;55;56;2012;-0.1027
3995;@Adli_Hakim tk bnyak .. tp SANGAT BANYAK -.- haha !;Fri;Jan;13;14;19;21;2012;0.5093
3996;bka fbnya,banyak sekali tag2an foto dri cewe itu..apa mauknya \(!!°<U+2610>°)/ \(°<U+2610>°!!!)/;Fri;Jan;13;14;20;1;2012;0.0
3997;Kan, kog bisa tau sod?brarti temannya smwa ituyaa"@rikkaTambunan: @bayusembiring mcm sodara gak aja, mantan sodara kan bnyk yg;Fri;Jan;13;14;20;19;2012;0.0
3998;Bodo :p RT @sabilsabila: gaya2an bet lo-_- @hansprastya: Soalnya cacad bbnya dy RT @suantikaa: Ko;Fri;Jan;13;14;21;21;2012;0.25
3999;Bukan bbnya.. Tapi yg punyanya.. Hha RT @robbyarsy: bb nya yang autis mah jadi ngeheng :( RT (cont) http://t.co/ikixxGXc;Fri;Jan;13;14;21;54;2012;-0.4404
4000;februari bnyk event2 besar2an ... :fyeah:;Fri;Jan;13;14;21;58;2012;0.0
4001;@ibrahim_naguib_   ahh yabny dana ba3sh2o  :P  akid la2 bs bafkr kunt ba3ml aih el sana ely fatet fel wa2t da tunis mbc micro keda ya3ny :D;Fri;Jan;13;14;23;17;2012;0.7761
4002;@radiaska @potzeus koleksi potcy lbh bnyk kk , aku ra sepiro haha;Fri;Jan;13;14;24;1;2012;0.6705
4003;kebnyakan pake inhaler bsa knapa" ga si?;Fri;Jan;13;14;24;55;2012;0.0
4004;RIM hires Goldman Sachs: Sell-off likely, but not soon http://t.co/qZ1rpz0c #tekfalke;Fri;Jan;13;14;25;7;2012;0.0
4005;banyak e'....,pesan satu ya...RT @Didisdiska: Digesek bnyk;Fri;Jan;13;14;26;32;2012;0.0
4006;RIP RIM? RT @Techmeme: RIM hires Goldman Sachs to field buyout offers? (@donreisinger / CNET) http://t.co/eWPsrNxJ http://t.co/08EMat3Q;Fri;Jan;13;14;27;44;2012;0.0
4007;kbnyakan dicelup ke pempek jd gtu lah RT @fahmilhabib yah enggk la pling dompet yg bkarat RT @HarrisMhd: haha mantep lah. gk bkarat gigikmu;Fri;Jan;13;14;29;13;2012;0.4588
4008;JPMorgan profit falls, but sees hope in economy - (Reuters) - JPMorgan Chase & Co's fourth-quarter earnings fell 23 ... http://t.co/h2OhQvSR;Fri;Jan;13;14;31;6;2012;0.7003
